Name,State,Date,Latitude,Longitude
Abbeville,Alabama,09/01/1903,31.5643955,-85.2540307869655
Abel,Alabama,10/15/1903,33.5487187,-85.7124608
Adamsville,Alabama,11/15/1901,33.6009389,-86.9561059
Adger,Alabama,11/15/1901,33.3770561,-87.0936065
Albertville,Alabama,04/01/1902,34.2675937,-86.2088669
Alexander City,Alabama,07/01/1902,32.944012,-85.9538532
Alexandria,Alabama,09/01/1902,33.768701,-85.8806685867867
Almond,Alabama,11/15/1904,33.146508,-85.6216228
Alpine,Alabama,10/01/1904,33.348722,-86.2385859
Altoona,Alabama,08/15/1904,34.032877,-86.3214428246059
Anniston,Alabama,03/15/1900,33.6749215,-85.8090864720719
Ariosto,Alabama,03/01/1904,nf,nf
Ashford,Alabama,07/15/1903,31.1829562,-85.236321
Ashland,Alabama,03/02/1903,33.2737256,-85.8360741
Ashville,Alabama,02/02/1903,33.8369216,-86.2549799
Athens,Alabama,05/01/1903,34.745419,-86.9747953560397
Attalla,Alabama,04/01/1902,34.0217639,-86.0885851
Auburn,Alabama,07/01/1902,32.6098566,-85.4807825
Baileyton,Alabama,06/01/1904,34.2623179,-86.6127712
Banks,Alabama,08/01/1903,31.8151585,-85.8430034
Bell Mills,Alabama,01/01/1904,33.6164966,-85.4746772
Bessemer,Alabama,11/15/1901,33.359265,-86.8731909819981
Bevill,Alabama,08/01/1903,33.2088477,-88.2877447
Billingsley,Alabama,11/15/1904,32.660778,-86.710482654771
Birmingham,Alabama,01/02/1901,33.5206824,-86.8024326
Blanton,Alabama,11/02/1903,32.7345767,-85.1338277
Blocton,Alabama,08/01/1903,33.1181748,-87.1249954
Blue Springs,Alabama,10/01/1904,31.6637769,-85.5066063
Boaz,Alabama,02/02/1903,34.1663695,-86.1708411331426
Bradleyton,Alabama,09/15/1904,31.9018184,-86.2421847
Brantley,Alabama,09/01/1904,31.581975,-86.2569580620073
Bridgeport,Alabama,09/01/1903,34.9511335,-85.7179606154118
Brockton,Alabama,08/01/1904,31.3857239,-85.9293861
Brundidge,Alabama,09/15/1903,31.714738,-85.81514677167
Buffalo,Alabama,10/15/1904,32.9462361,-85.4018929
